Datetime,Open,High,Low,Close,Volume,Ticker
2026-02-06 18:35:00+00:00,399.47,399.85,399.47,399.84,1794,MSFT
2026-02-06 18:35:00+00:00,184.4,184.51,184.4,184.51,6681,NVDA
2026-02-06 18:35:00+00:00,411.98,412.17,411.92,412.17,878,TSLA
2026-02-06 18:36:00+00:00,267.46,267.46,267.46,267.46,159,ADBE
2026-02-06 18:36:00+00:00,207.5,207.5,207.43,207.43,363,AMD
2026-02-06 18:36:00+00:00,207.67,207.75,207.44,207.61,8099,AMZN
2026-02-06 18:36:00+00:00,333.16,333.165,332.98,332.98,1045,AVGO
2026-02-06 18:36:00+00:00,660.385,660.49,660.18,660.18,1535,META
2026-02-06 18:36:00+00:00,399.86,399.96,399.745,399.745,689,MSFT
2026-02-06 18:36:00+00:00,184.515,184.57,184.515,184.57,4223,NVDA
2026-02-06 18:36:00+00:00,412.17,412.17,411.91,411.92,1725,TSLA
2026-02-06 18:37:00+00:00,267.39,267.39,267.39,267.39,96,ADBE
2026-02-06 18:37:00+00:00,207.31,207.31,207.31,207.31,123,AMD
2026-02-06 18:37:00+00:00,207.63,207.84,207.495,207.495,7805,AMZN
2026-02-06 18:37:00+00:00,332.945,332.945,332.555,332.68,1274,AVGO
2026-02-06 18:37:00+00:00,660.27,660.985,660.27,660.985,1449,META
2026-02-06 18:37:00+00:00,399.83,399.92,399.735,399.77,2854,MSFT
2026-02-06 18:37:00+00:00,184.585,184.585,184.43,184.5,7340,NVDA
2026-02-06 18:37:00+00:00,412.08,412.08,411.765,412.02,337,TSLA
2026-02-06 18:38:00+00:00,267.64,267.64,267.6,267.6,469,ADBE
2026-02-06 18:38:00+00:00,207.67,207.67,207.67,207.67,205,AMD
2026-02-06 18:38:00+00:00,207.48,207.6,207.25,207.44,17548,AMZN
2026-02-06 18:38:00+00:00,332.61,333.18,332.61,333.175,2008,AVGO
2026-02-06 18:38:00+00:00,661.04,661.055,660.63,661.055,1378,META
2026-02-06 18:38:00+00:00,399.72,400.065,399.715,399.73,3478,MSFT
2026-02-06 18:38:00+00:00,184.48,184.65,184.455,184.61,6371,NVDA
2026-02-06 18:38:00+00:00,411.91,412.15,411.83,412.15,977,TSLA
2026-02-06 18:39:00+00:00,267.5,267.5,267.5,267.5,67,ADBE
2026-02-06 18:39:00+00:00,207.67,207.77,207.67,207.77,650,AMD
2026-02-06 18:39:00+00:00,207.455,207.47,207.27,207.27,5236,AMZN
2026-02-06 18:39:00+00:00,333.22,333.29,332.965,333.11,1757,AVGO
2026-02-06 18:39:00+00:00,660.97,660.97,660.69,660.705,753,META
2026-02-06 18:39:00+00:00,399.74,399.74,399.64,399.69,1506,MSFT
2026-02-06 18:39:00+00:00,184.61,184.655,184.605,184.61,6939,NVDA
2026-02-06 18:39:00+00:00,412.02,412.75,412.02,412.63,4884,TSLA
2026-02-06 18:40:00+00:00,207.945,207.945,207.64,207.875,933,AMD
2026-02-06 18:40:00+00:00,207.21,207.55,207.21,207.49,7087,AMZN
2026-02-06 18:40:00+00:00,333.07,333.13,332.95,333.045,1467,AVGO
2026-02-06 18:40:00+00:00,660.79,660.79,660.79,660.79,182,META
2026-02-06 18:40:00+00:00,399.55,399.735,399.375,399.465,2850,MSFT
2026-02-06 18:40:00+00:00,184.62,184.76,184.595,184.745,11161,NVDA
2026-02-06 18:40:00+00:00,412.65,412.65,412.32,412.41,779,TSLA
2026-02-06 18:41:00+00:00,267.21,267.27,267.19,267.27,405,ADBE
2026-02-06 18:41:00+00:00,207.865,207.865,207.79,207.79,414,AMD
2026-02-06 18:41:00+00:00,207.44,207.48,207.29,207.345,7852,AMZN
2026-02-06 18:41:00+00:00,332.95,333.13,332.95,333.07,2612,AVGO
2026-02-06 18:41:00+00:00,661.115,661.115,660.625,660.69,840,META
2026-02-06 18:41:00+00:00,399.46,399.64,399.35,399.495,2315,MSFT
2026-02-06 18:41:00+00:00,184.75,184.75,184.6,184.6,10917,NVDA
2026-02-06 18:41:00+00:00,412.285,412.32,412.03,412.03,623,TSLA
2026-02-06 18:42:00+00:00,267.22,267.22,267.22,267.22,181,ADBE
2026-02-06 18:42:00+00:00,207.555,207.59,207.54,207.59,1132,AMD
2026-02-06 18:42:00+00:00,207.3,207.4,207.26,207.26,4291,AMZN
2026-02-06 18:42:00+00:00,333.06,333.24,333.02,333.24,5758,AVGO
2026-02-06 18:42:00+00:00,660.655,660.88,660.655,660.765,686,META
2026-02-06 18:42:00+00:00,399.495,399.59,399.36,399.495,1412,MSFT
2026-02-06 18:42:00+00:00,184.585,184.71,184.58,184.69,7082,NVDA
2026-02-06 18:42:00+00:00,411.94,411.985,411.655,411.655,1211,TSLA
2026-02-06 18:43:00+00:00,267.31,267.31,267.31,267.31,53,ADBE
2026-02-06 18:43:00+00:00,207.6,207.6,207.44,207.44,605,AMD
2026-02-06 18:43:00+00:00,207.28,207.38,207.115,207.23,6904,AMZN
2026-02-06 18:43:00+00:00,333.25,333.58,333.25,333.48,1187,AVGO
2026-02-06 18:43:00+00:00,660.95,661.305,660.83,660.83,889,META
2026-02-06 18:43:00+00:00,399.45,399.615,399.29,399.615,2714,MSFT
2026-02-06 18:43:00+00:00,184.675,184.685,184.58,184.58,4207,NVDA
2026-02-06 18:43:00+00:00,411.87,412.04,411.78,411.94,799,TSLA
2026-02-06 18:44:00+00:00,267.44,267.44,267.44,267.44,150,ADBE
2026-02-06 18:44:00+00:00,207.38,207.38,207.22,207.375,1081,AMD
2026-02-06 18:44:00+00:00,207.29,207.29,206.925,207.0,12749,AMZN
2026-02-06 18:44:00+00:00,333.47,333.47,333.21,333.37,1742,AVGO
2026-02-06 18:44:00+00:00,660.825,660.825,660.49,660.49,1250,META
2026-02-06 18:44:00+00:00,399.455,399.57,399.455,399.46,507,MSFT
2026-02-06 18:44:00+00:00,184.585,184.6,184.555,184.575,5697,NVDA
2026-02-06 18:44:00+00:00,411.94,411.97,411.77,411.9,974,TSLA
2026-02-06 18:45:00+00:00,267.48,267.48,267.48,267.48,52,ADBE
2026-02-06 18:45:00+00:00,207.51,207.62,207.51,207.62,436,AMD
2026-02-06 18:45:00+00:00,206.985,206.985,206.79,206.92,11434,AMZN
2026-02-06 18:45:00+00:00,333.63,333.63,333.595,333.595,366,AVGO
2026-02-06 18:45:00+00:00,660.64,660.64,660.57,660.61,367,META
2026-02-06 18:45:00+00:00,399.5,399.575,399.26,399.26,2135,MSFT
2026-02-06 18:45:00+00:00,184.58,184.67,184.58,184.665,6665,NVDA
2026-02-06 18:45:00+00:00,411.9,412.36,411.9,412.31,1196,TSLA
2026-02-06 18:46:00+00:00,267.45,267.54,267.45,267.54,382,ADBE
2026-02-06 18:46:00+00:00,207.635,207.8,207.63,207.755,1339,AMD
2026-02-06 18:46:00+00:00,206.85,206.995,206.805,206.95,11779,AMZN
2026-02-06 18:46:00+00:00,333.625,333.705,333.625,333.705,545,AVGO
2026-02-06 18:46:00+00:00,660.73,660.73,660.61,660.73,369,META
2026-02-06 18:46:00+00:00,399.025,399.025,398.63,398.64,3176,MSFT
2026-02-06 18:46:00+00:00,184.655,184.86,184.655,184.86,5974,NVDA
2026-02-06 18:46:00+00:00,412.35,412.715,412.27,412.65,889,TSLA
2026-02-06 18:47:00+00:00,267.585,267.6,267.585,267.6,288,ADBE
2026-02-06 18:47:00+00:00,207.785,207.785,207.66,207.66,1124,AMD
2026-02-06 18:47:00+00:00,206.935,207.2,206.93,207.2,8711,AMZN
2026-02-06 18:47:00+00:00,333.615,333.63,333.535,333.63,814,AVGO
2026-02-06 18:47:00+00:00,660.65,660.83,660.65,660.83,335,META
2026-02-06 18:47:00+00:00,398.575,398.635,398.26,398.26,3364,MSFT
2026-02-06 18:47:00+00:00,184.88,184.99,184.875,184.88,9525,NVDA
2026-02-06 18:47:00+00:00,412.75,412.84,412.63,412.71,956,TSLA
2026-02-06 18:48:00+00:00,267.595,267.595,267.53,267.53,203,ADBE
2026-02-06 18:48:00+00:00,207.52,207.52,207.39,207.39,581,AMD
2026-02-06 18:48:00+00:00,207.35,207.5,207.15,207.18,8110,AMZN
2026-02-06 18:48:00+00:00,333.7,333.745,333.665,333.665,1435,AVGO
2026-02-06 18:48:00+00:00,660.72,660.82,660.72,660.775,1097,META
2026-02-06 18:48:00+00:00,398.28,398.435,398.13,398.145,2582,MSFT
2026-02-06 18:48:00+00:00,184.835,184.955,184.835,184.885,7605,NVDA
2026-02-06 18:48:00+00:00,412.84,412.86,412.74,412.77,1312,TSLA
2026-02-06 18:49:00+00:00,267.51,267.51,267.345,267.345,220,ADBE
2026-02-06 18:49:00+00:00,207.49,207.505,207.49,207.49,607,AMD
2026-02-06 18:49:00+00:00,207.1,207.34,207.08,207.31,6620,AMZN
2026-02-06 18:49:00+00:00,333.65,333.65,333.435,333.435,1165,AVGO
2026-02-06 18:49:00+00:00,660.775,661.045,660.73,660.9,1596,META
2026-02-06 18:49:00+00:00,398.135,398.24,398.06,398.24,1027,MSFT
2026-02-06 18:49:00+00:00,184.88,184.95,184.825,184.855,7286,NVDA
2026-02-06 18:49:00+00:00,412.77,412.79,412.61,412.68,874,TSLA
2026-02-06 18:50:00+00:00,267.405,267.51,267.405,267.51,363,ADBE
2026-02-06 18:50:00+00:00,207.46,207.71,207.41,207.63,2226,AMD
2026-02-06 18:50:00+00:00,207.31,207.57,207.31,207.55,8046,AMZN
2026-02-06 18:50:00+00:00,333.52,333.52,333.31,333.34,633,AVGO
2026-02-06 18:50:00+00:00,660.99,661.02,660.79,660.81,1696,META
2026-02-06 18:50:00+00:00,398.24,398.29,398.04,398.06,2244,MSFT
2026-02-06 18:50:00+00:00,184.865,184.865,184.725,184.725,5119,NVDA
2026-02-06 18:50:00+00:00,412.75,412.84,412.725,412.75,425,TSLA
2026-02-06 18:51:00+00:00,267.44,267.45,267.44,267.45,258,ADBE
2026-02-06 18:51:00+00:00,207.69,207.69,207.43,207.59,3120,AMD
2026-02-06 18:51:00+00:00,207.53,207.63,207.45,207.55,7160,AMZN
2026-02-06 18:51:00+00:00,333.42,333.42,333.255,333.315,446,AVGO
2026-02-06 18:51:00+00:00,660.81,661.17,660.81,660.97,2751,META
2026-02-06 18:51:00+00:00,398.05,398.1,397.83,397.87,1569,MSFT
2026-02-06 18:51:00+00:00,184.7,184.75,184.685,184.71,2143,NVDA
2026-02-06 18:51:00+00:00,412.775,412.775,412.475,412.475,162,TSLA
2026-02-06 18:52:00+00:00,267.52,267.52,267.52,267.52,131,ADBE
2026-02-06 18:52:00+00:00,207.515,207.56,207.51,207.51,987,AMD
2026-02-06 18:52:00+00:00,207.58,207.69,207.47,207.47,4022,AMZN
2026-02-06 18:52:00+00:00,333.49,333.535,333.49,333.53,470,AVGO
2026-02-06 18:52:00+00:00,660.97,661.0,660.52,660.52,971,META
2026-02-06 18:52:00+00:00,397.695,397.865,397.66,397.865,1847,MSFT
2026-02-06 18:52:00+00:00,184.705,184.96,184.69,184.945,6137,NVDA
2026-02-06 18:52:00+00:00,412.56,412.73,412.56,412.73,379,TSLA
2026-02-06 18:53:00+00:00,267.5,267.5,267.39,267.39,360,ADBE
2026-02-06 18:53:00+00:00,207.55,207.55,207.365,207.365,762,AMD
2026-02-06 18:53:00+00:00,207.49,207.53,207.255,207.455,6970,AMZN
2026-02-06 18:53:00+00:00,333.52,333.52,333.35,333.365,717,AVGO
2026-02-06 18:53:00+00:00,660.63,660.63,660.315,660.61,1214,META
2026-02-06 18:53:00+00:00,397.865,397.89,397.08,397.105,2295,MSFT
2026-02-06 18:53:00+00:00,184.955,185.005,184.935,184.97,18379,NVDA
2026-02-06 18:53:00+00:00,412.65,412.65,412.42,412.42,338,TSLA
2026-02-06 18:54:00+00:00,267.53,267.53,267.51,267.51,145,ADBE
2026-02-06 18:54:00+00:00,207.33,207.65,207.33,207.65,1342,AMD
2026-02-06 18:54:00+00:00,207.45,207.67,207.41,207.6,4974,AMZN
2026-02-06 18:54:00+00:00,333.3,333.48,333.26,333.425,816,AVGO
2026-02-06 18:54:00+00:00,660.52,660.95,660.52,660.95,1201,META
2026-02-06 18:54:00+00:00,397.105,397.45,397.08,397.45,3624,MSFT
2026-02-06 18:54:00+00:00,184.94,184.945,184.86,184.86,3725,NVDA
2026-02-06 18:54:00+00:00,412.42,412.47,412.36,412.38,786,TSLA
2026-02-06 18:55:00+00:00,267.57,267.57,267.55,267.55,241,ADBE
2026-02-06 18:55:00+00:00,207.69,207.69,207.55,207.55,473,AMD
